    x_n     v_n
    41.187  -1209.192
    26.181  -2443.023
    34.666   5247.904
    42.634   3309.844
    30.585  -5705.592
    40.875   4257.685
    25.744   4966.762
    39.968    284.014
    22.644   5287.400
    27.981  -8794.748
    39.216  -5160.473
    43.406   1129.045
    24.315  -4904.891
    31.376   7848.084
    39.018  -7135.201
    40.151   5469.343
    29.970   8844.372
    40.439   1516.210
    29.185  -2844.622
    28.599  -6935.830
    22.611   -839.363
    24.798  -6890.210
    40.299  -1788.662
    31.680   9572.447
    31.861   8398.576
    28.040  -4567.720
    39.481   4284.415
    22.564  -1080.574
    26.560   1815.740
    40.969   3850.129
    40.518  -4190.838
    38.287   5975.757
    34.042  -7402.586
    26.049  -6864.488
    40.090   3216.994
    23.575  -3567.330
    35.630   8596.970
    22.784   1854.724
    23.061  -4604.315
    42.489   2969.542
    40.155   7244.390
    20.505   1134.015
    36.307   1061.319
    36.946  -2366.897
    36.293   7821.338
    40.689   -916.866
    33.484  -5911.660
    37.410   6577.589
    35.676   3814.874
    36.310   2055.129
